                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.81283,                0.55196,                0.87811,                0.57508,                0.58041,                0.57111,                0.37211,                 1.0157,                0.67462,                0.95774,              0.0008667,              0.0008667,              0.0008667
                     50,                0.82946,                0.55766,                0.88421,                0.39664,                0.49264,                0.44988,                0.28327,                 1.0441,                0.68038,                0.96075,              0.0008658,              0.0008658,              0.0008658
                     51,                0.82733,                0.55103,                 0.8824,                0.62259,                0.51814,                 0.5544,                 0.3456,                 1.0575,                0.68516,                0.96484,              0.0008649,              0.0008649,              0.0008649
                     52,                0.80883,                0.54315,                0.88269,                  0.751,                0.53051,                0.59946,                0.41385,                 1.0149,                0.67847,                0.95915,               0.000864,               0.000864,               0.000864
                     53,                0.84404,                0.57953,                 0.9063,                0.73588,                0.50561,                0.54701,                0.36681,                 1.0234,                0.66596,                0.96133,              0.0008631,              0.0008631,              0.0008631
                     54,                0.82171,                0.53621,                 0.8836,                0.57269,                0.54467,                0.52848,                0.35882,                 1.0178,                  0.684,                0.94958,              0.0008622,              0.0008622,              0.0008622
                     55,                0.82342,                0.54332,                0.87591,                0.80532,                0.53271,                0.59217,                0.37511,                 1.0196,                0.66587,                0.95594,              0.0008613,              0.0008613,              0.0008613
                     56,                0.80194,                0.52034,                 0.8746,                 0.7117,                0.51655,                 0.5556,                 0.3825,                 1.0275,                0.68402,                0.95523,              0.0008604,              0.0008604,              0.0008604
                     57,                0.81204,                0.53471,                0.87349,                0.73229,                0.52793,                 0.5643,                0.38123,                   1.02,                0.67678,                0.96389,              0.0008595,              0.0008595,              0.0008595
                     58,                0.78836,                0.54757,                0.88101,                0.62931,                0.49363,                0.55104,                0.37374,                 1.0549,                0.70513,                0.96573,             0.00085861,             0.00085861,             0.00085861
                     59,                0.80357,                0.52513,                 0.8703,                0.76133,                0.55479,                0.59827,                0.39017,                 1.0174,                0.67639,                0.96417,             0.00085771,             0.00085771,             0.00085771
                     60,                0.79152,                0.52369,                0.86926,                0.62781,                0.55584,                0.58602,                0.39909,                  1.028,                0.66009,                0.96315,             0.00085681,             0.00085681,             0.00085681
                     61,                0.78998,                0.51741,                0.87689,                0.52082,                 0.6036,                0.56211,                0.39545,                 1.0153,                0.65333,                0.94886,             0.00085591,             0.00085591,             0.00085591
                     62,                0.76712,                0.50619,                0.86962,                0.66658,                0.45628,                0.53157,                0.36968,                 1.0055,                0.68366,                0.96614,             0.00085501,             0.00085501,             0.00085501
                     63,                0.78034,                0.50966,                 0.8694,                0.52456,                0.46352,                0.48492,                0.33548,                 1.0316,                0.68597,                 0.9606,             0.00085411,             0.00085411,             0.00085411
                     64,                0.77935,                0.50246,                0.88252,                0.56015,                0.48814,                 0.4937,                0.32641,                  1.043,                0.70263,                0.96822,             0.00085321,             0.00085321,             0.00085321
                     65,                0.77558,                0.52657,                0.87535,                0.54128,                 0.5426,                0.53427,                 0.3667,                 1.0257,                0.68867,                0.96461,             0.00085231,             0.00085231,             0.00085231
                     66,                0.78084,                0.51182,                 0.8752,                0.70884,                0.50477,                0.56207,                0.38159,                  1.035,                0.68265,                0.96054,             0.00085141,             0.00085141,             0.00085141
                     67,                 0.7728,                0.51901,                0.87288,                0.63586,                0.51595,                0.56605,                0.39034,                0.99996,                0.69179,                0.94664,             0.00085051,             0.00085051,             0.00085051
                     68,                0.77433,                0.50149,                0.86591,                0.55289,                0.54319,                0.51817,                0.35297,                 1.0412,                0.70478,                 0.9652,             0.00084961,             0.00084961,             0.00084961
                     69,                0.76744,                 0.4922,                0.87368,                 0.7402,                0.50808,                0.57168,                0.39738,                 1.0058,                 0.6525,                0.96145,             0.00084871,             0.00084871,             0.00084871
                     70,                 0.7527,                0.49406,                0.86277,                0.61871,                0.51831,                0.54196,                0.35955,                 1.0122,                0.66625,                0.94833,             0.00084781,             0.00084781,             0.00084781
                     71,                0.76295,                0.50549,                0.87034,                0.71441,                0.50575,                 0.5129,                0.34898,                 1.0172,                0.69573,                 0.9625,             0.00084691,             0.00084691,             0.00084691
                     72,                0.79343,                0.51199,                0.87825,                0.54566,                0.54616,                0.50231,                0.32926,                 1.0575,                0.69819,                0.97478,             0.00084601,             0.00084601,             0.00084601
                     73,                0.75721,                0.48695,                0.86845,                0.57285,                0.54114,                0.54702,                0.35713,                  1.029,                 0.6636,                0.95481,             0.00084511,             0.00084511,             0.00084511
                     74,                0.77016,                0.50154,                0.86698,                0.57063,                0.50294,                0.50383,                0.33744,                 1.0313,                0.68032,                0.94739,             0.00084421,             0.00084421,             0.00084421
                     75,                 0.7402,                0.48122,                 0.8591,                0.77464,                0.43938,                 0.5382,                0.35527,                 1.0341,                0.68567,                0.95099,             0.00084331,             0.00084331,             0.00084331
                     76,                0.75577,                0.48878,                0.86357,                0.65743,                 0.5305,                0.54816,                0.35483,                0.99795,                0.68877,                0.94606,             0.00084241,             0.00084241,             0.00084241
                     77,                0.74637,                0.48484,                0.86843,                0.64428,                  0.485,                0.55537,                0.35627,                 1.0185,                0.67663,                0.94999,             0.00084151,             0.00084151,             0.00084151
                     78,                0.72434,                0.47619,                0.86545,                0.57508,                0.54817,                0.53981,                0.35767,                 1.0359,                0.67706,                0.96382,             0.00084061,             0.00084061,             0.00084061
                     79,                0.76714,                0.49022,                0.86471,                0.60642,                0.55585,                0.54196,                0.35718,                 1.0489,                0.69572,                0.96254,             0.00083971,             0.00083971,             0.00083971
                     80,                0.72771,                0.47974,                0.86118,                0.66975,                0.55329,                0.56301,                0.39847,                0.99408,                0.65149,                0.95273,             0.00083881,             0.00083881,             0.00083881
                     81,                0.75256,                0.48892,                0.86377,                0.62025,                0.51757,                0.53257,                0.37444,                 1.0117,                0.67349,                0.95662,             0.00083791,             0.00083791,             0.00083791
                     82,                0.74307,                0.48931,                0.86718,                0.63643,                0.53967,                0.56993,                0.37738,                 1.0056,                0.65306,                0.95912,             0.00083701,             0.00083701,             0.00083701
                     83,                0.73764,                0.52024,                0.86141,                0.64684,                0.50999,                0.57427,                0.39292,                 1.0075,                0.64445,                0.96053,             0.00083611,             0.00083611,             0.00083611
                     84,                0.73345,                0.47301,                0.86176,                0.58532,                 0.5561,                0.56962,                0.38072,                 1.0156,                0.64764,                0.96312,             0.00083521,             0.00083521,             0.00083521
                     85,                 0.7249,                0.46703,                0.85808,                0.50333,                0.52277,                0.49613,                0.31457,                 1.0734,                0.66451,                 0.9808,             0.00083431,             0.00083431,             0.00083431
