                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.85792,                0.53342,                0.95191,                0.88037,                0.81613,                0.90163,                0.66294,                0.89965,                0.52181,                 0.9557,             0.00061887,             0.00061887,             0.00061887
                     53,                0.85406,                0.53564,                0.95118,                0.84001,                 0.8431,                0.90187,                0.65686,                0.90262,                0.53479,                0.96182,              0.0006065,              0.0006065,              0.0006065
                     54,                0.85297,                0.52443,                0.94608,                0.85634,                0.82482,                 0.8863,                0.64924,                0.91627,                0.53157,                 0.9575,             0.00059413,             0.00059413,             0.00059413
                     55,                0.84832,                0.52172,                0.94477,                0.88023,                0.82088,                0.88838,                0.64901,                0.90812,                0.53829,                0.96362,             0.00058175,             0.00058175,             0.00058175
                     56,                0.84066,                0.52266,                0.95182,                0.80459,                0.86325,                0.89992,                  0.648,                0.91485,                0.53527,                0.97049,             0.00056938,             0.00056938,             0.00056938
                     57,                0.84553,                0.51265,                0.94031,                0.85515,                0.84528,                0.89875,                0.66688,                0.89777,                0.52281,                0.95773,               0.000557,               0.000557,               0.000557
                     58,                 0.8292,                0.50886,                0.94509,                0.85478,                0.82813,                0.89443,                0.65353,                0.90644,                0.53466,                0.96826,             0.00054463,             0.00054463,             0.00054463
                     59,                0.82216,                 0.5039,                0.94685,                0.87864,                0.80352,                0.87971,                0.65291,                0.89558,                0.53221,                 0.9595,             0.00053225,             0.00053225,             0.00053225
                     60,                0.83411,                0.50921,                0.94245,                0.86852,                0.80739,                0.86802,                0.62937,                0.91055,                0.54347,                0.96793,             0.00051988,             0.00051988,             0.00051988
                     61,                0.81293,                 0.4948,                0.93675,                0.87959,                0.80181,                0.89239,                0.65284,                0.90931,                0.52489,                0.96194,              0.0005075,              0.0005075,              0.0005075
                     62,                0.81058,                0.50028,                0.93848,                0.87541,                 0.8128,                0.89701,                0.66285,                0.90792,                0.50751,                 0.9607,             0.00049513,             0.00049513,             0.00049513
                     63,                0.81513,                0.49888,                0.93547,                0.84548,                0.80471,                0.88509,                0.65116,                0.91067,                0.51638,                0.96219,             0.00048275,             0.00048275,             0.00048275
                     64,                0.81184,                0.49034,                0.93967,                0.82086,                0.85697,                0.88351,                0.64938,                0.91937,                0.52879,                0.96804,             0.00047038,             0.00047038,             0.00047038
                     65,                0.81344,                0.48824,                0.93944,                 0.8831,                0.80728,                0.88961,                0.66045,                0.90071,                0.52859,                0.95991,               0.000458,               0.000458,               0.000458
                     66,                0.81334,                0.48869,                0.93166,                 0.8653,                0.81053,                0.88297,                0.63949,                0.92668,                0.53293,                0.97544,             0.00044563,             0.00044563,             0.00044563
                     67,                0.80372,                0.48592,                0.93948,                0.79378,                0.87921,                0.88214,                0.65092,                0.90358,                0.53297,                0.96139,             0.00043325,             0.00043325,             0.00043325
                     68,                0.80188,                0.48678,                0.93289,                0.85602,                0.84202,                0.89349,                0.64947,                0.91605,                0.51742,                0.96947,             0.00042087,             0.00042087,             0.00042087
                     69,                0.79949,                0.48493,                0.93087,                0.84565,                0.83128,                0.88545,                 0.6502,                0.91615,                 0.5183,                0.96705,              0.0004085,              0.0004085,              0.0004085
                     70,                0.79069,                0.47734,                0.92854,                0.83851,                0.87475,                0.89356,                0.66161,                0.90243,                0.50744,                0.96128,             0.00039613,             0.00039613,             0.00039613
                     71,                 0.7801,                0.47109,                0.92061,                0.89887,                0.82962,                0.88979,                0.66733,                0.88488,                0.50531,                0.95676,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.7996,                0.47332,                0.92922,                0.86862,                0.82452,                0.89145,                0.65811,                0.88519,                0.49522,                0.95653,             0.00037138,             0.00037138,             0.00037138
                     73,                0.79028,                0.47516,                0.92794,                0.84648,                0.84777,                0.89167,                0.65719,                 0.8882,                0.50321,                0.96274,               0.000359,               0.000359,               0.000359
                     74,                0.76064,                0.45546,                0.91997,                0.83343,                0.83423,                0.88513,                0.65283,                0.89596,                0.51347,                  0.963,             0.00034663,             0.00034663,             0.00034663
                     75,                 0.7768,                0.46386,                0.92559,                0.85784,                0.83993,                0.88708,                0.65368,                0.90355,                0.50602,                0.96551,             0.00033425,             0.00033425,             0.00033425
                     76,                 0.7693,                0.45766,                 0.9203,                0.83421,                0.85463,                0.89793,                0.66236,                0.90303,                0.50293,                0.96541,             0.00032188,             0.00032188,             0.00032188
                     77,                0.76837,                0.45361,                 0.9175,                 0.8517,                0.81781,                0.88872,                0.65868,                 0.9012,                0.50224,                0.96443,              0.0003095,              0.0003095,              0.0003095
                     78,                0.77793,                0.46721,                0.91739,                0.88446,                0.81753,                0.89669,                0.66152,                 0.9036,                0.49566,                0.96505,             0.00029713,             0.00029713,             0.00029713
                     79,                0.77362,                0.45267,                0.92152,                0.85076,                0.83108,                0.88717,                0.65951,                0.89151,                0.50201,                0.96054,             0.00028475,             0.00028475,             0.00028475
                     80,                0.75259,                0.44665,                0.91528,                0.87431,                0.81112,                0.90048,                0.67084,                0.88778,                0.49475,                 0.9612,             0.00027237,             0.00027237,             0.00027237
                     81,                0.75336,                0.44511,                0.91797,                 0.8446,                0.84639,                0.89412,                0.66019,                0.89063,                0.50749,                0.96279,                0.00026,                0.00026,                0.00026
                     82,                0.75563,                0.44648,                 0.9164,                0.85713,                0.84535,                0.89657,                0.67225,                0.89163,                0.49607,                0.96389,             0.00024762,             0.00024762,             0.00024762
                     83,                0.74946,                0.44774,                0.91433,                0.82266,                0.86939,                0.89175,                0.66806,                0.88739,                0.49445,                0.96016,             0.00023525,             0.00023525,             0.00023525
                     84,                0.73544,                0.43206,                0.90963,                0.87492,                0.84748,                0.89631,                 0.6671,                0.89263,                 0.4969,                0.95973,             0.00022288,             0.00022288,             0.00022288
                     85,                0.74115,                0.43311,                0.90816,                0.88131,                 0.8365,                0.89887,                0.66996,                0.89504,                0.49489,                0.96226,              0.0002105,              0.0002105,              0.0002105
                     86,                0.73283,                0.43219,                0.90796,                0.85103,                0.84197,                0.89039,                0.66468,                0.88869,                0.50293,                0.95968,             0.00019813,             0.00019813,             0.00019813
                     87,                0.74795,                0.44575,                0.91055,                0.85368,                0.83014,                0.89277,                0.66796,                0.89199,                0.50294,                0.95857,             0.00018575,             0.00018575,             0.00018575
                     88,                0.73813,                0.43162,                0.90999,                0.88329,                0.80956,                0.88594,                0.66578,                0.89784,                0.50145,                0.96426,             0.00017338,             0.00017338,             0.00017338
                     89,                0.73059,                0.43129,                0.90669,                0.84765,                0.84227,                0.89397,                0.66794,                0.89754,                0.50132,                0.96715,               0.000161,               0.000161,               0.000161
                     90,                0.72674,                0.42522,                0.90652,                 0.8481,                0.83423,                0.89399,                0.67056,                0.89552,                0.50012,                0.96305,             0.00014862,             0.00014862,             0.00014862
                     91,                0.73439,                  0.427,                0.90821,                0.83367,                0.84332,                0.88991,                0.66478,                0.89087,                0.49787,                0.96385,             0.00013625,             0.00013625,             0.00013625
                     92,                0.72232,                0.42463,                0.90854,                0.83595,                0.85477,                0.88564,                0.65668,                0.90406,                  0.499,                0.96879,             0.00012387,             0.00012387,             0.00012387
                     93,                0.71843,                  0.415,                0.90679,                0.86328,                0.84055,                0.89275,                 0.6632,                0.89547,                0.49825,                0.96751,              0.0001115,              0.0001115,              0.0001115
                     94,                0.71119,                0.41678,                0.90286,                0.88202,                0.83434,                0.89392,                0.66884,                0.89565,                0.49709,                0.96549,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.71363,                0.41563,                0.90122,                0.87184,                0.83542,                0.89545,                0.66911,                0.88819,                0.49389,                 0.9629,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.71156,                0.42043,                0.89899,                0.89597,                0.81871,                0.89327,                0.67019,                0.88895,                0.49505,                0.96246,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.70288,                0.41005,                0.89716,                0.87227,                0.82395,                0.89119,                0.66694,                0.89098,                0.49205,                0.96295,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.70199,                0.41104,                0.89575,                0.88026,                0.82898,                 0.8921,                0.67108,                0.89137,                0.48947,                0.96495,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.70196,                0.40812,                0.89635,                0.86987,                0.83245,                 0.8919,                0.66705,                0.88967,                 0.4904,                0.96358,              3.725e-05,              3.725e-05,              3.725e-05
